customer_id,first_name,last_name,email,phone,nationality,is_tourist,created_date_key
1,Name1,Surname1,customer1@example.com,+34 610000001,ES,False,20250602
2,Name2,Surname2,customer2@example.com,+34 610000002,ES,False,20250603
3,Name3,Surname3,customer3@example.com,+34 610000003,ES,False,20250604
4,Name4,Surname4,customer4@example.com,+34 610000004,FR,True,20250605
5,Name5,Surname5,customer5@example.com,+34 610000005,FR,True,20250606
6,Name6,Surname6,customer6@example.com,+34 610000006,DE,True,20250607
7,Name7,Surname7,customer7@example.com,+34 610000007,DE,True,20250608
8,Name8,Surname8,customer8@example.com,+34 610000008,IT,True,20250609
9,Name9,Surname9,customer9@example.com,+34 610000009,IT,True,20250610
10,Name10,Surname10,customer10@example.com,+34 610000010,ES,False,20250611
11,Name11,Surname11,customer11@example.com,+34 610000011,ES,False,20250612
12,Name12,Surname12,customer12@example.com,+34 610000012,ES,False,20250613
13,Name13,Surname13,customer13@example.com,+34 610000013,ES,False,20250614
14,Name14,Surname14,customer14@example.com,+34 610000014,FR,True,20250615
15,Name15,Surname15,customer15@example.com,+34 610000015,FR,True,20250616
16,Name16,Surname16,customer16@example.com,+34 610000016,DE,True,20250617
17,Name17,Surname17,customer17@example.com,+34 610000017,DE,True,20250618
18,Name18,Surname18,customer18@example.com,+34 610000018,IT,True,20250619
19,Name19,Surname19,customer19@example.com,+34 610000019,IT,True,20250620
20,Name20,Surname20,customer20@example.com,+34 610000020,ES,False,20250621
21,Name21,Surname21,customer21@example.com,+34 610000021,ES,False,20250622
22,Name22,Surname22,customer22@example.com,+34 610000022,ES,False,20250623
23,Name23,Surname23,customer23@example.com,+34 610000023,ES,False,20250624
24,Name24,Surname24,customer24@example.com,+34 610000024,FR,True,20250625
25,Name25,Surname25,customer25@example.com,+34 610000025,FR,True,20250626
26,Name26,Surname26,customer26@example.com,+34 610000026,DE,True,20250627
27,Name27,Surname27,customer27@example.com,+34 610000027,DE,True,20250628
28,Name28,Surname28,customer28@example.com,+34 610000028,IT,True,20250629
29,Name29,Surname29,customer29@example.com,+34 610000029,IT,True,20250630
30,Name30,Surname30,customer30@example.com,+34 610000030,ES,False,20250601
31,Name31,Surname31,customer31@example.com,+34 610000031,ES,False,20250602
32,Name32,Surname32,customer32@example.com,+34 610000032,ES,False,20250603
33,Name33,Surname33,customer33@example.com,+34 610000033,ES,False,20250604
34,Name34,Surname34,customer34@example.com,+34 610000034,FR,True,20250605
35,Name35,Surname35,customer35@example.com,+34 610000035,FR,True,20250606
36,Name36,Surname36,customer36@example.com,+34 610000036,DE,True,20250607
37,Name37,Surname37,customer37@example.com,+34 610000037,DE,True,20250608
38,Name38,Surname38,customer38@example.com,+34 610000038,IT,True,20250609
39,Name39,Surname39,customer39@example.com,+34 610000039,IT,True,20250610
40,Name40,Surname40,customer40@example.com,+34 610000040,ES,False,20250611
41,Name41,Surname41,customer41@example.com,+34 610000041,ES,False,20250612
42,Name42,Surname42,customer42@example.com,+34 610000042,ES,False,20250613
43,Name43,Surname43,customer43@example.com,+34 610000043,ES,False,20250614
44,Name44,Surname44,customer44@example.com,+34 610000044,FR,True,20250615
45,Name45,Surname45,customer45@example.com,+34 610000045,FR,True,20250616
46,Name46,Surname46,customer46@example.com,+34 610000046,DE,True,20250617
47,Name47,Surname47,customer47@example.com,+34 610000047,DE,True,20250618
48,Name48,Surname48,customer48@example.com,+34 610000048,IT,True,20250619
49,Name49,Surname49,customer49@example.com,+34 610000049,IT,True,20250620
50,Name50,Surname50,customer50@example.com,+34 610000050,ES,False,20250621
